Year	Sector	Reporting Legal Name	Facility Name	CO2 (tonnes CO2 eq)	CH4 (tonnes CO2 eq)	N2O (tonnes CO2 eq)	HFC (tonnes CO2 eq)	PFC (tonnes CO2 eq)	SF6 (tonnes CO2 eq)	Total (tonnes CO2 eq)
2010	Petroleum and Coal Products Manufacturing	Husky Oil Operations Limited	Lloydminster Refinery	92287	148	417	0	0	0	92852
2010	Pipeline Transportation	Foothills Pipe Lines Ltd.	"Foothills Pipeline, Alberta"	188748	12685	2453	0	0	0	203886
2010	Pipeline Transportation	Alliance Pipeline Ltd.	Alberta Pipeline System	526265	26400	3731	0	0	0	556396
2010	Pipeline Transportation	ATCO Gas and Pipelines Ltd.	ATCO Pipelines	78935	144401	3392	0	0	0	226728
2010	Pipeline Transportation	Nova Gas Transmission Ltd.	"TransCanada Pipeline, Alberta System"	1307230	409792	18791	0	0	0	1735813
2010	Primary Metal Manufacturing	Sherritt International Corporation	Fort Saskatchewan	323126	5621	3277	0	0	0	332024
2010	Primary Metal Manufacturing	AltaSteel Ltd.	AltaSteel	72329	25	255	0	0	0	72609
2010	Waste Treatment and Disposal	City of Calgary	East Calgary Landfill	0	34962	0	0	0	0	34962
2010	Waste Treatment and Disposal	Waste Management of Canada Corporation	West Edmonton Landfill	1244	80292	153	0	0	0	81689
2010	Waste Treatment and Disposal	City of Lethbridge	Lethbridge Waste and Recycling Centre Disposal Site	658	84226	75	0	0	0	84959
2010	Waste Treatment and Disposal	Beaver Regional Waste Management Services Commission	Beaver Regional Waste Landfill	7707	66226	53	0	0	0	73985
2010	Wood Product Manufacturing	Alberta-Pacific Forest Industries Inc.	Alberta-Pacific Forest Industries Inc.	92039	2055	16840	0	0	0	110934
2010	Wood Product Manufacturing	Weyerhaeuser Company Limited	Grande Prairie Operations	68493	26048	9200	0	0	0	103740
2010	Wood Product Manufacturing	West Fraser Mills Ltd.	Hinton Pulp	132779	15831	8379	0	0	0	156990
2010	Wood Product Manufacturing	Daishowa-Marubeni International Ltd-Peace River Pulp	Peace River Pulp Division	69469	24831	9570	0	0	0	103870
2010	Wood Product Manufacturing	Millar Western Forest Products Ltd.	Whitecourt Pulp Divison	61074	28	298	0	0	0	61399
2010	Wood Product Manufacturing	Tolko Industries Ltd.	Tolko High Level Lumber Division	30079	5292	2614	0	0	0	37985
2010	Wood Product Manufacturing	West Fraser Mills Ltd.	Ranger Board	0	13571	78255	0	0	0	91826
2010	Wood Product Manufacturing	Ainsworth Lumber Co. Ltd.	Grande Prairie OSB Mill	9375	263	1168	0	0	0	10806
2010	Wood Product Manufacturing	Weyerhaeuser Company Limited	Edson O.S.B.	15636	160	1355	0	0	0	17152
2009	Chemical Manufacturing	Alberta Envirofuels Inc.	Alberta Envirofuels	321396	454	1967	0	0	0	323817
2009	Chemical Manufacturing	INEOS Canada Partnership	Joffre LAO Plant	111394	92	583	0	0	0	112069
2009	Chemical Manufacturing	NOVA Chemicals Corporation	NOVA Chemicals Corporation (Joffre)	2600656	3052	11840	0	0	0	2615548
2009	Chemical Manufacturing	MEGlobal Canada Inc.	Prentiss Chemical Manufacturing Facility	160879	1335	189	0	0	0	162403
